4426
1 5 478
1 9 450
1 10 239
1 11 358
1 24 478
1 25 1364
1 37 478
1 55 478
1 118 218
1 137 54
1 232 109
1 975 936
1 1072 682
1 1642 870
4 6 682
4 7 436
4 11 358
4 38 877
4 40 358
4 167 478
4 530 877
4 985 218
4 1269 239
4 1276 1364
5 1 478
5 237 171
5 260 103
5 861 478
5 3269 200
6 4 682
6 17 478
6 18 682
6 21 274
6 22 103
6 38 682
6 276 358
6 349 973
6 4668 870
7 4 436
7 790 436
8 25 10000
8 34 682
8 38 10000
8 44 300
8 47 2000
8 63 680
8 116 2000
8 124 20000
8 147 1000
8 172 1000
8 214 1000
8 216 20000
8 298 36
8 305 103
8 346 20000
8 347 10000
8 354 2000
8 358 1000
8 435 1000
8 438 1000
8 478 103
8 684 358
8 718 478
8 781 1000
8 892 1000
8 939 1000
8 973 1313
8 974 218
8 1072 10000
8 1274 1000
8 1276 10000
8 1452 1000
8 1475 1000
8 1660 1000
8 1714 1000
8 1719 1000
8 2245 1000
8 3611 10000
8 4118 1000
8 4119 1000
8 4672 1000
9 1 450
9 57 358
9 250 54
9 1486 218
10 1 239
10 26 1003
10 348 218
10 626 108
10 730 103
11 1 358
11 4 358
11 33 218
11 468 200
11 2277 103
12 20 358
13 38 1364
13 45 1364
14 37 218
14 118 218
15 16 705
15 29 307
15 79 252
15 530 1410
16 15 705
16 27 361
16 113 450
16 191 90
16 403 108
16 539 358
16 4587 436
16 4671 870
17 6 478
17 36 218
17 324 103
18 6 682
18 19 637
18 169 218
18 801 358
19 18 637
19 45 637
19 890 218
20 12 358
20 58 478
20 207 358
20 266 358
20 414 478
20 475 412
20 481 478
20 587 1235
20 771 218
20 1072 682
20 2245 682
20 2246 307
20 4162 307
21 6 274
22 6 103
22 470 54
23 45 108
24 1 478
24 334 103
24 356 490
24 476 358
24 549 218
24 2273 218
25 1 1364
25 8 10000
26 10 1003
27 16 361
27 1278 54
28 240 218
28 420 200
28 539 450
29 15 307
30 31 218
30 50 54
30 530 450
31 30 218
31 32 200
31 524 54
31 529 54
32 31 200
32 35 103
33 11 218
34 8 682
34 54 478
34 68 218
34 239 68
34 295 307
34 296 300
34 412 157
34 413 218
34 414 218
35 32 103
36 17 218
36 543 54
37 1 478
37 14 218
38 4 877
38 6 682
38 8 10000
38 13 1364
38 279 103
38 517 307
39 49 272
39 587 436
39 4083 436
40 4 358
40 231 68
40 1276 900
40 4559 436
41 42 358
41 43 1236
41 52 103
41 56 478
42 41 358
42 229 358
42 335 163
42 379 109
43 41 1236
43 44 1410
43 93 478
43 95 637
43 234 300
43 4104 300
44 8 300
44 43 1410
44 62 1754
44 106 450
44 115 920
44 136 103
44 355 682
44 380 218
44 498 36
44 937 103
44 1072 682
44 1529 478
45 13 1364
45 19 637
45 23 108
45 51 109
45 72 150
45 264 358
45 300 665
45 373 103
45 388 54
45 528 54
45 539 682
45 790 870
45 1072 680
45 1487 478
46 47 994
46 85 1258
46 489 358
46 490 218
46 634 358
46 635 358
46 675 218
46 4669 900
47 8 2000
47 46 994
47 92 478
47 107 682
47 200 239
47 254 682
47 673 580
47 1021 218
48 194 239
48 208 682
49 39 272
49 658 358
50 30 54
51 45 109
51 1521 54
52 41 103
52 647 682
52 1372 218
52 4672 870
53 115 103
53 135 108
54 34 478
54 149 200
54 516 300
54 1101 68
55 1 478
55 870 109
56 41 478
56 176 108
56 219 307
56 262 109
56 265 478
56 1681 218
57 9 358
57 537 218
57 1537 682
58 20 478
58 67 300
58 4159 436
60 115 239
60 345 218
60 1529 478
61 134 410
61 1180 218
61 4109 450
62 44 1754
62 84 478
62 285 358
62 347 1754
62 803 358
63 8 680
65 71 103
65 119 797
65 153 478
65 246 218
65 249 497
65 417 200
65 418 54
65 453 558
65 477 358
65 893 103
65 2606 436
65 2780 307
66 102 478
66 116 1754
66 158 497
66 166 410
66 484 1236
66 810 103
66 812 307
67 58 300
67 76 478
67 461 200
67 4118 877
68 34 218
69 481 307
69 531 436
69 1013 218
69 1492 171
70 72 239
70 614 103
70 1924 478
70 1929 218
70 4731 307
70 4732 307
71 65 103
71 315 300
72 45 150
72 70 239
72 152 218
72 534 218
72 956 108
74 1487 218
76 67 478
76 103 300
76 122 300
76 280 218
76 343 478
76 1072 682
76 1140 218
76 1280 103
76 1924 478
76 3150 307
76 4118 877
78 296 68
79 15 252
79 518 211
79 4160 103
79 4671 870
82 153 36
84 62 478
84 312 33
84 509 358
84 671 307
85 46 1258
85 604 358
86 124 682
86 353 300
86 484 682
86 1191 478
86 2921 436
86 4919 436
89 332 870
89 636 358
91 124 920
91 186 1552
91 255 478
91 1402 218
91 4674 870
