1444 CESE
1165 CEVA
1396 CEVI
188 CGAJ
777 CHAM
776 CHDUZ
696 CHEC
617 CHER
4866 CHFRA
4796 CHGIS
483 CHIAV
4795 CHMAJ
4800 CHMONTE
1524 CHNU
4802 CHONT
4867 CHONTE
4860 CHORT
4798 CHPIE
4803 CHSCH
944 CHUC
4832 CHVAS
70 CICR
97 CIGO
68 CILA
519 CILL
427 CIMO
1664 CINBAL
877 CING
1074 CIR
318 CIRO
684 CISLN
1401 CISVM
669 CIVP
506 CLA2
428 CLAU
233 CLOS
1660 CLRI
360 CLSI
921 CLYS
475 CMRN
1702 CMRT
1036 CMS
2506 CNALT
3085 CNCIM
5012 CNCOR
1498 CNER
382 CNLD
1161 CNLE
227 CNLL
2126 CNPOG
1208 COAL
651 COCH
329 CODA
4672 COERB
4446 COERNA
1013 COFI
1601 COGR
79 COL
1181 COLC
173 COLL
535 COLMA
870 COLO
1569 COLR
171 COMA
458 COMAN
601 COME
38 COMI
127 COMO
1339 CONDCP
459 COPLA
40 CORBE
1113 CORDI
1067 COREN
122 CORI
1456 CORO
1042 COSBI
291 COSF
4436 COSOMMA
569 COSR
1372 COST
4104 COTRE
778 COUI
103 COUR
1236 CPER
1007 CRAMP
1231 CRBE
660 CRCR
802 CREM
705 CRESC
1421 CRESP
412 CRGN
246 CRLA
1168 CRMY
968 CRN
526 CRNV
1529 CRO
702 CROCI
577 CROD
643 CROSA
113 CRPR
4440 CRSPI
1318 CRTO
816 CRVA
838 CRVG
913 CSCA
476 CSEMP
463 CSPDS
557 CSSND
1164 CSTN
1264 CSTPRM
659 CTLC
1235 CTOL
293 CUBO
717 CUGGN
623 CUMI
49 CURE
467 CURI
1062 CUROV
513 CURT
267 CUTO
1718 CVISC
1249 CVLL
638 DARFO
975 DATAW
308 DDAL
242 DEVR
574 DINE
810 DOBU
144 DOCA
1186 DOLA
98 DOLC
607 DOSA
485 DOSS
516 DRNO
1278 DRUO
1041 DUEVI
22 DUM
230 DVGN
221 EDOL
19 EGRO
133 EIRA
1637 ELCA
1638 ELNE
1639 ELPE
1721 ELVT
425 ERTO
1179 ERV
176 ESLA
397 ESLA2
1537 ESP
1723 EUP
416 EVAN
273 FAED
1352 FAGA
1701 FAIP
845 FAIS
644 FAL
154 FALC
361 FALE
324 FALM
301 FARN
4025 FCALE
3995 FCANBEN
3573 FCANMA
3229 FCBAL
2869 FCBOR
2870 FCBORG
2866 FCCAS
2878 FCDIO
3796 FCGAL
4664 FCNTE
3245 FCNTO
3074 FCONTEC
4737 FCONTEF
3244 FCONTOL
3236 FCORIO
3790 FCPOR
3791 FCPORT
3792 FCPORTI
3770 FCPRE
4032 FCREMIL
3789 FCROC
3835 FCSANB
3259 FCSANMA
3321 FCSANT
4037 FCSANTA
2874 FCTONT
418 FCUR
3076 FCVES
3756 FEARGE
4017 FEARGI
1936 FEBUO
3271 FECOL
4022 FECOM
4788 FECOP
4091 FEFER
2771 FEGOR
3146 FEIOLA
3148 FEMEZ
1176 FERI
3737 FEROA
3147 FESAB
1457 FICA
987 FIES
829 FIGO
501 FILOR
357 FINE
537 FINMO
146 FINO
1692 FIPO
3213 FIRONC
820 FLCC
2181 FMAMAN
2180 FMCAM
1970 FMCOL
2162 FMCOLLE
1966 FMMON
1967 FMMONT
1974 FMMONTE
2194 FMMOR
1976 FMONT
1971 FMPOR
1972 FMSAN
1977 FMSANT
1973 FMVAL
606 FOCA
691 FOGL
392 FOLE
15 FOM
442 FONT
543 FORC
534 FORE
402 FORN
499 FORNO
892 FOSS
1395 FOST
1097 FRA
383 FREG
1214 FRES
410 FRIS
981 FRPOL
1590 FRSA
823 FRSS
163 FRTV
943 FRTZ
1245 FURC
1178 GABE
827 GADE
334 GAGN
1483 GALLO
37 GALO
1315 GAMB
511 GAMBA
84 GAND
653 GARG
54 GARL
43 GARN
613 GATT
907 GAVI
1630 GAVR
25 GAZ
298 GDVS
282 GEAL
2516 GEAMP
1961 GEBOS
2403 GECAD
2404 GECAMP
1954 GECAP
2344 GECHI
4787 GECOL
2409 GECOR
2518 GECRET
4734 GECROCE
2037 GECUR
830 GEEI
2488 GEFOR
1951 GEGAI
2038 GEGRI
2036 GELAC
2311 GELEN
1955 GEMEL
2572 GEMIG
1959 GEMON
2119 GEONT
2306 GEONTE
4692 GEONTEM
2309 GEONTET
2310 GEONTEV
1953 GEPIA
2112 GEPOR
2490 GERAP
228 GERD
1956 GERIB
244 GERM
2416 GEROV
2491 GERUT
2417 GESAM
2418 GESCI
2483 GESCIO
2113 GESES
2536 GESOT
2602 GETUR
2307 GEVAL
2576 GEVALL
2141 GEVILL
2578 GEVILLA
1952 GEVOB
1018 GHEDI
923 GIAG
564 GIAI
65 GIAR
1185 GIOL
123 GIRE
400 GIUM
931 GLIS
1237 GOBB
793 GOGL
279 GOLA
517 GOMOT
1582 GONAR
630 GOR
962 GRAD
1280 GRAG
1654 GRAL
207 GRAN
1685 GRAS
804 GREA
978 GRIG
1503 GRIM
414 GRLM
828 GRNO
1191 GRNZ
1172 GROS
538 GUAN
120 GUAR
326 GURR
773 GUVSCI
547 IAIN
